"name"	"taxRank"	"taxID"	"Max"	"X5089.b.cladeReads"	"X5090.b.cladeReads"	"X5091.b.cladeReads"	"X5092.b.cladeReads"	"X5093.b.cladeReads"	"X5094.b.cladeReads"	"X5101.b.cladeReads"	"X5102.b.cladeReads"	"X5103.b.cladeReads"	"X5104.b.cladeReads"	"X5105.b.cladeReads"	"X5106.k.cladeReads"	"Max.1"	"X5089.b.cladeReads.."	"X5090.b.cladeReads.."	"X5091.b.cladeReads.."	"X5092.b.cladeReads.."	"X5093.b.cladeReads.."	"X5094.b.cladeReads.."	"X5101.b.cladeReads.."	"X5102.b.cladeReads.."	"X5103.b.cladeReads.."	"X5104.b.cladeReads.."	"X5105.b.cladeReads.."	"X5106.k.cladeReads.."	"Max.2"	"X5089.b.cladeReads.rank"	"X5090.b.cladeReads.rank"	"X5091.b.cladeReads.rank"	"X5092.b.cladeReads.rank"	"X5093.b.cladeReads.rank"	"X5094.b.cladeReads.rank"	"X5101.b.cladeReads.rank"	"X5102.b.cladeReads.rank"	"X5103.b.cladeReads.rank"	"X5104.b.cladeReads.rank"	"X5105.b.cladeReads.rank"	"X5106.k.cladeReads.rank"	"Max.3"	"X5089.b.cladeReads.z.score"	"X5090.b.cladeReads.z.score"	"X5091.b.cladeReads.z.score"	"X5092.b.cladeReads.z.score"	"X5093.b.cladeReads.z.score"	"X5094.b.cladeReads.z.score"	"X5101.b.cladeReads.z.score"	"X5102.b.cladeReads.z.score"	"X5103.b.cladeReads.z.score"	"X5104.b.cladeReads.z.score"	"X5105.b.cladeReads.z.score"	"X5106.k.cladeReads.z.score"	"Max.4"	"X5089.b.cladeReads...z.score"	"X5090.b.cladeReads...z.score"	"X5091.b.cladeReads...z.score"	"X5092.b.cladeReads...z.score"	"X5093.b.cladeReads...z.score"	"X5094.b.cladeReads...z.score"	"X5101.b.cladeReads...z.score"	"X5102.b.cladeReads...z.score"	"X5103.b.cladeReads...z.score"	"X5104.b.cladeReads...z.score"	"X5105.b.cladeReads...z.score"	"X5106.k.cladeReads...z.score"	"lineage"
"Aquiluna sp. Uisw_065"	"S"	3230967	32	18	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.0003429	0.0001694	0.0003429	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.091e-05	599	941	599	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465	32	18	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.3429	0.1694	0.3429	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Luna&nbsp;cluster>Luna&#x2011;1&nbsp;subcluster>Aquiluna>unclassified&nbsp;Aquiluna"
"Curtobacterium sp. 458"	"S"	3050069	14	14	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.0001317	0.0001317	NA	NA	NA	4.546e-05	NA	NA	NA	NA	NA	NA	NA	1059.5	1059.5	NA	NA	NA	1195.5	NA	NA	NA	NA	NA	NA	NA	14	14	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	0.1317	0.1317	NA	NA	NA	0.04546	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Curtobacterium>unclassified&nbsp;Curtobacterium"
"Leucobacter triazinivorans"	"S"	1784719	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.586e-05	6.586e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465.5	1465.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06586	0.06586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Leucobacter"
"Paramicrobacterium sp. CJ85"	"S"	3445355	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	8	0.0001091	4.705e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.325e-05	0.0001091	800.5	1623	NA	NA	NA	NA	NA	NA	NA	NA	NA	1214	800.5	8	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	8	0.1091	0.04705	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05325	0.1091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Microbacteriaceae>Paramicrobacterium>unclassified&nbsp;Paramicrobacterium"
"Cellulomonas wangsupingiae"	"S"	2968085	13	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0001223	0.0001223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	1097.5	1097.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	13	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.1223	0.1223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Cellulomonadaceae>Cellulomonas"
"Cellulomonas sp. ES6"	"S"	3039384	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.586e-05	6.586e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1465.5	1465.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06586	0.06586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Cellulomonadaceae>Cellulomonas>unclassified&nbsp;Cellulomonas"
"Xylanimonas allomyrinae"	"S"	2509459	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.645e-05	5.645e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1551	1551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05645	0.05645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Promicromonosporaceae>Xylanimonas"
"Demequina sediminis"	"S"	1930058	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.645e-05	5.645e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1551	1551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05645	0.05645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Demequinaceae>Demequina"
"Saxibacter everestensis"	"S"	2909229	10	5	10	NA	NA	6	NA	NA	NA	NA	NA	NA	3	0.0001072	4.705e-05	0.0001072	NA	NA	3.031e-05	NA	NA	NA	NA	NA	NA	4.091e-05	1086.5	1623	1086.5	NA	NA	1391	NA	NA	NA	NA	NA	NA	1465	10	5	10	NA	NA	6	NA	NA	NA	NA	NA	NA	3	0.1072	0.04705	0.1072	NA	NA	0.03031	NA	NA	NA	NA	NA	NA	0.04091	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micrococcales>Brevibacteriaceae>Saxibacter"
"Trueperella pyogenes"	"S"	1661	137	137	66	47	18	18	14	27	23	NA	NA	13	43	0.001289	0.001289	0.0007072	0.0003145	0.0001127	9.092e-05	7.499e-05	0.0002168	0.000127	NA	NA	0.0001154	0.0005863	349	349	433.5	515.5	829.5	886	811.5	493	492.5	NA	NA	871	369	5.613	5.613	2.192	1.277	-0.1204	-0.1204	-0.3132	0.3132	0.1204	NA	NA	-0.3613	1.084	1.168	1.168	0.586	0.1933	-0.0085	-0.03028	-0.04621	0.0956	0.0058	NA	NA	-0.0058	0.4651	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Trueperella"
"Schaalia odontolytica"	"S"	1660	49	34	NA	49	38	30	44	11	19	9	NA	NA	2	0.0003279	0.0003199	NA	0.0003279	0.000238	0.0001515	0.0002357	8.834e-05	0.0001049	4.277e-05	NA	NA	2.727e-05	453.5	647.5	NA	504	611	689.5	453.5	716.5	531	718	NA	NA	1899.5	1.529	0.8544	NA	1.529	1.034	0.6745	1.304	-0.1799	0.1799	-0.2698	NA	NA	-0.5846	0.2313	0.2233	NA	0.2313	0.1414	0.05488	0.1391	-0.00828	0.00828	-0.05385	NA	NA	-0.06935	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Schaalia"
"Schaalia sp. HMT-172"	"S"	3059028	38	26	NA	18	NA	NA	8	NA	6	38	NA	NA	NA	0.0002446	0.0002446	NA	0.0001204	NA	NA	4.285e-05	NA	3.313e-05	0.0001806	NA	NA	NA	433.5	746.5	NA	849	NA	NA	1053	NA	831.5	433.5	NA	NA	NA	38	26	NA	18	NA	NA	8	NA	6	38	NA	NA	NA	0.2446	0.2446	NA	0.1204	NA	NA	0.04285	NA	0.03313	0.1806	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Schaalia>unclassified&nbsp;Schaalia"
"Schaalia turicensis"	"S"	131111	101	25	17	21	NA	7	NA	NA	NA	16	NA	NA	101	0.001377	0.0002352	0.0001822	0.0001405	NA	3.536e-05	NA	NA	NA	7.604e-05	NA	NA	0.001377	273	766	822	785	NA	1316.5	NA	NA	NA	586.5	NA	NA	273	18.79	4.143	2.602	3.372	NA	0.6745	NA	NA	NA	2.409	NA	NA	18.79	1.359	0.2175	0.1645	0.1228	NA	0.01768	NA	NA	NA	0.05836	NA	NA	1.359	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Schaalia"
"Actinomyces viscosus"	"S"	1656	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0001976	0.0001976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	856	856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	21	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.1976	0.1976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"Actinomyces pacaensis"	"S"	1852377	21	7	NA	7	10	NA	21	5	8	NA	NA	NA	3	0.0001125	6.586e-05	NA	4.684e-05	6.262e-05	NA	0.0001125	4.016e-05	4.417e-05	NA	NA	NA	4.091e-05	655.5	1465.5	NA	1369.5	1038.5	NA	655.5	940	756	NA	NA	NA	1465	2.867	0.5059	NA	0.5059	1.012	NA	2.867	0.1686	0.6745	NA	NA	NA	-0.1686	0.07196	0.02533	NA	0.006305	0.02209	NA	0.07196	-0.000375	0.003635	NA	NA	NA	0.000375	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Actinomyces"
"Pauljensenia hongkongensis"	"S"	178339	12	12	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	2	0.0001129	0.0001129	NA	NA	NA	3.031e-05	NA	NA	NA	NA	NA	NA	2.727e-05	1139.5	1139.5	NA	NA	NA	1391	NA	NA	NA	NA	NA	NA	1899.5	12	12	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	2	0.1129	0.1129	NA	NA	NA	0.03031	NA	NA	NA	NA	NA	NA	0.02727	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Pauljensenia"
"Arcanobacterium haemolyticum"	"S"	28264	33	7	27	9	NA	12	5	14	NA	NA	17	5	33	0.00045	6.586e-05	0.0002893	6.022e-05	NA	6.061e-05	2.678e-05	0.0001124	NA	NA	9.305e-05	4.438e-05	0.00045	420.5	1465.5	648.5	1212.5	NA	1058.5	1251	642.5	NA	NA	560	1293	420.5	2.409	-0.09636	1.831	0.09636	NA	0.3854	-0.2891	0.5781	NA	NA	0.8672	-0.2891	2.409	0.3896	0.005445	0.2289	-0.000195	NA	0.000195	-0.03364	0.05198	NA	NA	0.03263	-0.01604	0.3896	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Arcanobacterium"
"Changpingibacter yushuensis"	"S"	2758440	6	6	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	1	5.645e-05	5.645e-05	NA	NA	NA	NA	NA	4.819e-05	NA	NA	NA	NA	1.364e-05	893.5	1551	NA	NA	NA	NA	NA	893.5	NA	NA	NA	NA	2935	6	6	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	1	0.05645	0.05645	NA	NA	NA	NA	NA	0.04819	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Actinomycetales>Actinomycetaceae>Changpingibacter"
"Streptomyces sp. SCSIO ZS0520"	"S"	2892996	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001788	0.0001788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	912.5	912.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1788	0.1788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
"Streptomyces sp. So13.3"	"S"	2136173	72	72	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0006775	0.0006775	6e-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	457.5	457.5	466.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	72	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.6775	0.6775	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
"Streptomyces sp. Y1"	"S"	3238634	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.645e-05	5.645e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1551	1551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.05645	0.05645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>unclassified&nbsp;Streptomyces"
"Streptomyces canus"	"S"	58343	73	73	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0006869	0.0006869	0.0002786	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	454.5	454.5	660	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	73	73	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.6869	0.6869	0.2786	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces>Streptomyces&nbsp;aurantiacus&nbsp;group"
"Streptomyces xanthophaeus"	"S"	67385	35	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0003293	0.0003293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	635.5	635.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	35	35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3293	0.3293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Streptomyces incarnatus"	"S"	665007	22	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000207	0.000207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	830.5	830.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.207	0.207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Streptomyces"
"Kitasatospora purpeofusca"	"S"	67352	33	15	9	NA	NA	24	33	NA	NA	NA	NA	NA	4	0.0001768	0.0001411	9.644e-05	NA	NA	0.0001212	0.0001768	NA	NA	NA	NA	NA	5.454e-05	519.5	1026	1164	NA	NA	759	519.5	NA	NA	NA	NA	NA	1211	33	15	9	NA	NA	24	33	NA	NA	NA	NA	NA	4	0.1768	0.1411	0.09644	NA	NA	0.1212	0.1768	NA	NA	NA	NA	NA	0.05454	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Kitasatosporales>Streptomycetaceae>Kitasatospora"
"Nocardioides sp. InS609-2"	"S"	2760705	40	40	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003764	0.0003764	0.0001286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	592	592	976.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	40	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3764	0.3764	0.1286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Vaginimicrobium propionicum"	"S"	1871034	204	29	10	17	9	20	NA	14	11	204	NA	22	8	0.0009695	0.0002729	0.0001072	0.0001137	5.636e-05	0.000101	NA	0.0001124	6.074e-05	0.0009695	NA	0.0001953	0.0001091	252	700.5	1086.5	872.5	1078.5	844	NA	642.5	653.5	252	NA	675.5	800.5	21.53	1.855	-0.281	0.5059	-0.3935	0.8431	NA	0.1686	-0.1686	21.53	NA	1.068	-0.5059	0.8614	0.1648	-0.00095	0.00555	-0.05179	-0.00715	NA	0.00425	-0.04741	0.8614	NA	0.08715	0.00095	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Propionibacteriales>Propionibacteriaceae>Vaginimicrobium"
"Kribbella sp. NBC_00709"	"S"	2975972	10	10	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	9.644e-05	9.409e-05	9.644e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.181e-05	956	1245	1164	NA	NA	NA	NA	NA	NA	NA	NA	NA	956	10	10	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	0.09644	0.09409	0.09644	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08181	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella>unclassified&nbsp;Kribbella"
"Kribbella sp. NBC_00662"	"S"	2975969	9	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.644e-05	7.527e-05	9.644e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1164	1380	1164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	8	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09644	0.07527	0.09644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella>unclassified&nbsp;Kribbella"
"Micromonospora sp. NBC_01813"	"S"	2975988	32	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0003011	0.0003011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	665	665	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3011	0.3011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micromonosporales>Micromonosporaceae>Micromonospora>unclassified&nbsp;Micromonospora"
"Dactylosporangium sp. CS-033363"	"S"	3239935	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001317	0.0001317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1059.5	1059.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1317	0.1317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micromonosporales>Micromonosporaceae>Dactylosporangium>unclassified&nbsp;Dactylosporangium"
"Actinoplanes sp. CA-015351"	"S"	3239897	21	10	NA	NA	7	NA	NA	NA	NA	NA	NA	21	NA	0.0001864	9.409e-05	NA	NA	4.383e-05	NA	NA	NA	NA	NA	NA	0.0001864	NA	688.5	1245	NA	NA	1169.5	NA	NA	NA	NA	NA	NA	688.5	NA	21	10	NA	NA	7	NA	NA	NA	NA	NA	NA	21	NA	0.1864	0.09409	NA	NA	0.04383	NA	NA	NA	NA	NA	NA	0.1864	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micromonosporales>Micromonosporaceae>Actinoplanes>unclassified&nbsp;Actinoplanes"
"Actinocatenispora thailandica"	"S"	227318	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.527e-05	7.527e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1380	1380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07527	0.07527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Micromonosporales>Micromonosporaceae>Actinocatenispora"
"Candidatus Protofrankia datiscae"	"S"	2716812	26	26	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.0002446	0.0002446	7.501e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.818e-05	746.5	746.5	1327	NA	NA	NA	NA	NA	NA	NA	NA	NA	1054.5	26	26	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.2446	0.2446	0.07501	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06818	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Frankiales>Frankiaceae>Protofrankia"
"Frankia sp. ArI3"	"S"	1858	16	16	8	NA	NA	13	11	NA	NA	NA	NA	NA	NA	0.0001505	0.0001505	8.572e-05	NA	NA	6.566e-05	5.892e-05	NA	NA	NA	NA	NA	NA	923.5	997	1243.5	NA	NA	1025	923.5	NA	NA	NA	NA	NA	NA	16	16	8	NA	NA	13	11	NA	NA	NA	NA	NA	NA	0.1505	0.1505	0.08572	NA	NA	0.06566	0.05892	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Frankiales>Frankiaceae>Frankia>unclassified&nbsp;Frankia"
"Microtetraspora malaysiensis"	"S"	161358	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001317	0.0001317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1059.5	1059.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1317	0.1317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Streptosporangiales>Streptosporangiaceae>Microtetraspora"
"Nonomuraea sp. CA-141351"	"S"	3239996	13	10	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001393	9.409e-05	0.0001393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	936.5	1245	936.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	10	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1393	0.09409	0.1393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Streptosporangiales>Streptosporangiaceae>Nonomuraea>unclassified&nbsp;Nonomuraea"
"Actinoallomurus sp. CA-150999"	"S"	3239887	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	7.527e-05	7.527e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.364e-05	1380	1380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2935	8	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.07527	0.07527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01364	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Streptosporangiales>Thermomonosporaceae>Actinoallomurus>unclassified&nbsp;Actinoallomurus"
"Amycolatopsis albispora"	"S"	1804986	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0001317	0.0001317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1059.5	1059.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1317	0.1317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Pseudonocardiales>Pseudonocardiaceae>Amycolatopsis"
"Prauserella marina"	"S"	530584	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	6.586e-05	6.586e-05	NA	NA	NA	3.536e-05	NA	NA	NA	NA	NA	NA	NA	1316.5	1465.5	NA	NA	NA	1316.5	NA	NA	NA	NA	NA	NA	NA	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	0.06586	0.06586	NA	NA	NA	0.03536	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Actinomycetota>Actinomycetes>Pseudonocardiales>Pseudonocardiaceae>Prauserella"
